file,rank,name,price,capacity,rakutenUrl,楽天商品名,楽天価格,URL一致
ballpoint-pen-comparison.md,1,ジェットストリーム 名入れ 多機能ボールペン 4色,880,1本（4色ボールペン+シャープペンシル）,https://hb.afl.rakuten.co.jp/hgc/g00q656n.3rdw61ae.g00q656n.3rdw7d60/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbunbougu-shibuya%2Fmsxe5-1000-05n%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbunbougu-shibuya%2Fi%2F10074288%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ジェットストリーム 名入れ ボールペン 4&1 三菱鉛筆 uni 多機能ボールペン 0.5 0.7 0.38ボール+0.5シャープ MSXE5-1000 4＆1 名前入りボールペン 仕事 学生 安心ブランド 定番 記念品 1000円前後 ギフト プレゼント 文房具 名前入れ可能 [ギフトケース付][M便 1/15],880,○
ballpoint-pen-comparison.md,2,サラサグランド ビンテージ ジェルボールペン,1200,1本（ゲルインク）,https://hb.afl.rakuten.co.jp/hgc/g00q020n.3rdw6d49.g00q020n.3rdw75a0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fogawahan%2F10008119%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fogawahan%2Fi%2F10008119%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【名いれ無料】ZEBRA ゼブラ サラサグランド ビンテージ 名入れ ボールペン ジェルボールペン 高級 プレゼント,1200,○
ballpoint-pen-comparison.md,3,クロス カレイ ボールペン,2640,1本（替え芯対応）,https://hb.afl.rakuten.co.jp/hgc/g00qm7tn.3rdw6475.g00qm7tn.3rdw747f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-youstyle%2Fcr-at0112-1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-youstyle%2Fi%2F10044341%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【P5倍要エントリー】 名入れ ボールペン クロス CROSS ボールペン カレイ CALAIS AT0112 油性ボールペン ギフト 誕生日祝い 進級祝い 記念日 高級筆記具 文房具 プレゼント 名前入り 名入り,2640,○
ballpoint-pen-comparison.md,4,パーカー IM ボールペン,3470,1本（替え芯対応）,https://hb.afl.rakuten.co.jp/hgc/g00rviqn.3rdw6978.g00rviqn.3rdw793e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fnaireya%2Fparkerim%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fnaireya%2Fi%2F10000000%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【P5倍要エントリー】 名入れ ボールペン パーカー PARKER IM 油性ボールペン 全14色 ギフト プレゼント 誕生日 就職 オフィス おしゃれ シンプル 文房具 事務用品 ファッション 新学期 勉強 学生用品 先生へ 上司へ 名前入り 名入り,2679,△(別商品)
bath-additive-comparison.md,1,バブ 厳選4種類の香りセレクトBOX 56錠,4273,56錠（56回分）,https://hb.afl.rakuten.co.jp/hgc/g00un3nn.3rdw669e.g00un3nn.3rdw7b90/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ffukuroku-1%2Figpebstvhfft2z4dc6iwkue5py%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ffukuroku-1%2Fi%2F10126004%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【大容量】 バブ 厳選4種類の香りセレクトBOX 薬用 56錠 炭酸 入浴剤 詰め合わせ [医薬部外品],4273,○
bath-additive-comparison.md,2,バスクリン 大容量 600g×3個,2465,600g×3個（約60回分）,https://hb.afl.rakuten.co.jp/hgc/g00sa3qn.3rdw64a4.g00sa3qn.3rdw76a8/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshopavail%2F1789%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fshopavail%2Fi%2F10001642%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
bath-additive-comparison.md,3,【1種類を選べる】きき湯 炭酸湯【きき湯】[炭酸入浴剤 薬用 温泉 風呂 温浴,1980,360g×3,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F405199%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F11231979%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【1種類を選べる】きき湯 炭酸湯(360g×3セット)【きき湯】[炭酸入浴剤 薬用 温泉 風呂 温浴 発泡 炭酸 症状 ケア],1980,○
bath-additive-comparison.md,4,エプソムソルト 3kg,1720,3kg（約20回分）,https://hb.afl.rakuten.co.jp/hgc/g00r4tyn.3rdw66a6.g00r4tyn.3rdw770c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-epsomsalt%2Fesc-3kg%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-epsomsalt%2Fi%2F10000221%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【公式】 国産 エプソムソルト オリジナル 3kg 入浴剤 無添加 無香料 マグネシウム シークリスタルス バスソルト 食品添加物グレード 計量スプーン付,1720,○
bathroom-cleaner-comparison.md,1,バスマジックリン エアジェット 詰め替え 大容量 820mL×2袋,722,820mL×2袋（約240回分）,https://hb.afl.rakuten.co.jp/hgc/g00ugynn.3rdw6d73.g00ugynn.3rdw7c64/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakutensokuhaimart%2F4901301453242%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakutensokuhaimart%2Fi%2F10028927%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
bathroom-cleaner-comparison.md,2,ルック バスタブクレンジング 詰め替え 大容量 800mL,3262,800mL（約120回分）,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F85253%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10966194%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ライオン ルック＋バスタブクレンジング 銀イオン＋ハーバルグリーン 詰め替え 大容量 800ml,380,△(別商品)
bathroom-cleaner-comparison.md,3,カビキラー 特大サイズ 本体 1000g,784,1000g（約100回分）,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2Fa001200200130%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10099450%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,カビキラー カビ取り剤 本体 特大サイズ 大容量(1000g)【rainy_2】【カビキラー】[カビ除去スプレー お風呂 浴槽 掃除 洗剤],784,○
bathroom-cleaner-comparison.md,4,ウタマロクリーナー 本体 400mL + 詰め替え 350mL セット,470,本体400mL+詰め替え350mL（約110回分）,https://hb.afl.rakuten.co.jp/hgc/g00ru0on.3rdw60b7.g00ru0on.3rdw7edf/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fat-life%2F4904766130215%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fat-life%2Fi%2F10003963%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: HTTP 400,,
body-soap-comparison.md,1,ビオレu ザ ボディ 泡タイプ 詰め替え 800mL×2袋,1980,800mL×2袋（約400回分）,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F405032%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F11166894%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: HTTP 400,,
body-soap-comparison.md,2,hadakara ボディソープ 保湿+サラサラ仕上がりタイプ 詰め替え 大容量 800mL,732,800mL（約100回分）,https://hb.afl.rakuten.co.jp/hgc/g00qs40n.3rdw6e75.g00qs40n.3rdw7092/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fladies-online-shop%2F10021895%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fladies-online-shop%2Fi%2F10021895%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
body-soap-comparison.md,3,ダヴ ボディウォッシュ プレミアム モイスチャーケア 詰め替え 720g,2598,720g（約2ヶ月分）,https://hb.afl.rakuten.co.jp/hgc/g00psjvn.3rdw61e6.g00psjvn.3rdw7b7c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ftry3%2F4902111764443%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ftry3%2Fi%2F10032736%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,Dove(ダヴ) Dove ダヴ ボディウォッシュ プレミアム モイスチャーケア つめかえ用 720g ボディーソープ ボディソープ やわらかなフローラルの香り,1887,△(別商品)
body-soap-comparison.md,4,ミノン 全身シャンプー 泡タイプ 詰め替え 400mL,2993,400mL（約100回分）,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F68857%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10910706%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ミノン 全身シャンプー 泡タイプ 詰替え用(400ml*3袋セット)【MINON(ミノン)】,2993,○
cleansing-comparison.md,1,キュレル 潤浸保湿 クレンジングフォーム 150mL,1280,150mL,https://hb.afl.rakuten.co.jp/hgc/g00sc3vn.3rdw62af.g00sc3vn.3rdw76d3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fyuidrug%2F4901301447586%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fyuidrug%2Fi%2F10054545%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
cleansing-comparison.md,2,ソフティモ スピーディオイルクレンジング 230mL,2270,230mL,https://hb.afl.rakuten.co.jp/hgc/g00tw2pn.3rdw6069.g00tw2pn.3rdw7b19/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbeautyland%2F1736928005%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbeautyland%2Fi%2F10000272%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
cleansing-comparison.md,3,DHC ディープクレンジングオイル 200mL,2717,200mL,https://hb.afl.rakuten.co.jp/hgc/g00qy5un.3rdw6b7b.g00qy5un.3rdw754e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdhcshop%2F8000000300%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdhcshop%2Fi%2F10000077%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【店内P最大18倍以上開催】【DHC直販】DHC薬用ディープクレンジングオイル（L）200mL | クレンジングオイル オイル 毛穴 メイク落とし オイルクレンジング 毛穴ケア 角栓 化粧落とし スキンケア 化粧品 フェイスケア 肌ケア 基礎化粧品 保湿 コスメ 乾燥肌 顔 美容 well,2717,○
cleansing-comparison.md,4,ビオレ 素肌つるるんクレンジングウォーター 300mL,6263,300mL,https://hb.afl.rakuten.co.jp/hgc/g00ujrwn.3rdw65e1.g00ujrwn.3rdw73b7/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fmorro%2F20250623203939_94%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fmorro%2Fi%2F10047472%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
coffee-filter-comparison.md,1,キーコーヒー コーヒーフィルター 無漂白 100枚,184,100枚（2〜4杯用）,https://hb.afl.rakuten.co.jp/hgc/g00prckn.3rdw63f4.g00prckn.3rdw7c9f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fonestep%2Fcf0475%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fonestep%2Fi%2F10348950%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,キーコーヒー コーヒーフィルター 2〜4人用 無漂白 タブ付き 100枚入り,228,△(別商品)
coffee-filter-comparison.md,2,ハリオ V60 ペーパーフィルター みさらし 100枚,438,100枚（1〜4杯用）,https://hb.afl.rakuten.co.jp/hgc/g00pl5fn.3rdw6571.g00pl5fn.3rdw7e5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fgourmetcoffee%2F1355-02%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fgourmetcoffee%2Fi%2F10001877%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,V60用ペーパーフィルターみさらし100枚箱入りVCF-02-100MK（1〜4杯用）/ハリオ（HARIO）コーヒーフィルター/アイス珈琲/アイスコーヒー/グルメコーヒー豆専門加藤珈琲店,438,○
coffee-filter-comparison.md,3,【カリタ】コーヒーフィルターみさらし101濾紙1〜2人用/,209,40枚,https://hb.afl.rakuten.co.jp/hgc/g00ppmon.3rdw6f65.g00ppmon.3rdw7779/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhiroshimacoffee%2F426221%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhiroshimacoffee%2Fi%2F10000898%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【カリタ】コーヒーフィルターみさらし101濾紙1〜2人用/40枚入,209,○
coffee-filter-comparison.md,4,メリタ アロマフィルター AF-M 100枚,853,100枚（1〜2杯用）,https://hb.afl.rakuten.co.jp/hgc/g00u5ncn.3rdw6781.g00u5ncn.3rdw77ef/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fmelittajapan%2Faromafilter01%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fmelittajapan%2Fi%2F10000085%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
conditioner-comparison.md,1,いち髪 なめらかスムースケア コンディショナー 詰め替え 660mL×2個,1000,660mL×2個（約6ヶ月分）,https://hb.afl.rakuten.co.jp/hgc/g00uhm1n.3rdw621b.g00uhm1n.3rdw7ede/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fonestep0104%2Fichikami-smth%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fonestep0104%2Fi%2F10000229%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,送料無料 ［2個セット］いち髪　なめらかスムースケアコンディショナー　詰替用　660mL×2個 ●翌日配達「あす楽」対象商品（休業日を除く）●,2520,△(別商品)
conditioner-comparison.md,2,メリット コンディショナー 詰め替え 大容量 1200mL,6600,1200mL（約4ヶ月分）,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F601325%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F11330382%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,大容量 Merit メリット コンディショナー つめかえ用 1200ml [医薬部外品],2514,△(別商品)
conditioner-comparison.md,3,パンテーン エクストラダメージケア トリートメントコンディショナー 詰め替え 超特大 950g,421,950g（約3ヶ月分）,https://hb.afl.rakuten.co.jp/hgc/g00t3jpn.3rdw65f5.g00t3jpn.3rdw7f69/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fyamada-denki%2F2873444011%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fyamada-denki%2Fi%2F10570891%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
conditioner-comparison.md,4,【決算還元】ユニリーバ LUX ラックス スーパーリッチシャイン ダメージリペア,299,290g,https://hb.afl.rakuten.co.jp/hgc/g00ru0on.3rdw60b7.g00ru0on.3rdw7edf/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fat-life%2F4902111773964-today%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fat-life%2Fi%2F12461321%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【決算還元】ユニリーバ LUX ラックス スーパーリッチシャイン ダメージリペア 補修 コンディショナー つめかえ用 290g（4902111773964）※パッケージ変更の場合あり,299,○
contact-lens-comparison.md,1,コンプリート ダブルモイスト コンタクト洗浄液 360mL,1424,360mL,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2Fe406550h%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10439837%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
contact-lens-comparison.md,2,オプティフリープラス コンタクトレンズ洗浄液 470mL,3890,470mL,https://hb.afl.rakuten.co.jp/hgc/g00qym5n.3rdw62ce.g00qym5n.3rdw72cb/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhitomi-cl%2Fopfplus_6%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhitomi-cl%2Fi%2F10000358%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
contact-lens-comparison.md,3,エピカコールド コンタクトレンズ洗浄液 360mL,3040,360mL,https://hb.afl.rakuten.co.jp/hgc/g00rvxen.3rdw62ee.g00rvxen.3rdw7466/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fatcontact%2Fk_mc_epc3z0_02_h%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fatcontact%2Fi%2F10002192%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
contact-lens-comparison.md,4,メニコン 洗浄保存液 コンタクト 450mL,7360,450mL,https://hb.afl.rakuten.co.jp/hgc/g00rfvyn.3rdw697a.g00rfvyn.3rdw7b2f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Flenscare%2Feye-car-08019%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Flenscare%2Fi%2F10001377%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
cotton-comparison.md,1,【1点限り！令和お試し価格】ユニ・チャーム シルコット うるうる コットン,341,80枚,https://hb.afl.rakuten.co.jp/hgc/g00ru0on.3rdw60b7.g00ru0on.3rdw7edf/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fat-life%2F4903111456789-today%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fat-life%2Fi%2F12194578%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,【1点限り！令和お試し価格】ユニ・チャーム シルコット うるうる コットン 80枚入,341,○
cotton-comparison.md,2,花王　ビオレ　メイク落とし　ふくだけコットン　つめかえ用　詰め替え用　クレンジン,565,46枚,https://hb.afl.rakuten.co.jp/hgc/g00pp25n.3rdw63dd.g00pp25n.3rdw7c22/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fwellness-web%2F10034333%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fwellness-web%2Fi%2F10034333%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,花王　ビオレ　メイク落とし　ふくだけコットン　つめかえ用　(46枚入)　詰め替え用　クレンジングシート,565,○
cotton-comparison.md,3,コットンラボ コットン 70枚入,1470,70枚入,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F64330%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10898172%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,(LINEクーポン有)4973202201079 5枚重ねのめくるコットン 大きめサイズ 70枚入【キャンセル不可】 ラボ 化粧雑貨 化粧品 めくるコットン大きめ コットンラボ,403,△(別商品)
cotton-comparison.md,4,パックスナチュロン コットン 80枚入,3894,80枚入,https://hb.afl.rakuten.co.jp/hgc/g00q5inn.3rdw6732.g00q5inn.3rdw7aa0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Faimere%2Ft0010102%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Faimere%2Fi%2F10020176%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
dental-floss-comparison.md,1,GUM デンタルフロス 550m,280,550m,https://hb.afl.rakuten.co.jp/hgc/g00r6h3n.3rdw6e54.g00r6h3n.3rdw719f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fd-fit%2Fppp160%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fd-fit%2Fi%2F10010887%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ERROR: 0件,,
dental-floss-comparison.md,2,ライオン クリニカ アドバンテージ フロス Y字タイプ,292,18本,https://hb.afl.rakuten.co.jp/hgc/g00ru0on.3rdw60b7.g00ru0on.3rdw7edf/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fat-life%2F4903301203896%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fat-life%2Fi%2F10013302%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,ライオン クリニカ アドバンテージ フロス Y字タイプ 18本 (歯垢除去　デンタルフロス)( 4903301203896 ),292,○
dental-floss-comparison.md,3,小林製薬 糸ようじ フロス&ピック デンタルフロス 60本入,770,60本入,https://hb.afl.rakuten.co.jp/hgc/g00r136n.3rdw697f.g00r136n.3rdw7383/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2Fa003200200606%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F10123742%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,小林製薬の糸ようじ デンタルフロス(60本入)【イチオシ】【糸ようじ】[フロス&ピック デンタルフロス 歯間ケア 虫歯 歯周病],770,○
dental-floss-comparison.md,4,デンタルプロ 歯間ブラシ 4【more30】【デンタルプロ】,467,15本,https://hb.afl.rakuten.co.jp/hgc/g00pl1pn.3rdw619a.g00pl1pn.3rdw796f/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkenkocom%2Fd412800h%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkenkocom%2Fi%2F10014395%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,デンタルプロ 歯間ブラシ 4(Mサイズ*15本入)【more30】【デンタルプロ】,467,○
deodorant-comparison.md,1,8x4 パウダースプレー 無香料 150g,492,150g,https://hb.afl.rakuten.co.jp/hgc/g00rqszn.3rdw6b20.g00rqszn.3rdw7361/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fmatsukiyo%2F4901301333834%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fmatsukiyo%2Fi%2F10462163%2F&rafcid=wsc_i_is_42b71141-7589-447e-ab9f-1c5e97e9d61f,花王 8x4 パウダースプレー 無香料 大 150g （医薬部外品）,492,○
